code,population,child_proportion,older_person_proportion,median_age,population_density,born_outside_uk_proportion,road_traffic_incidents,employment_rate,median_house_price,median_household_income,apartment_proportion,household_ownership_rate,social_renting_proportion,private_rental_proportion,higher_level_qualification_proportion,crime_rate,open_space_proportion,cars_per_household,pt_access_score,bike_to_work_trips
E09000001,8100,8,15.2,39,2538.1,36.7,57,79.6,765000,63620,98,42.3,16.5,35.9,68.4,656.4,18.6,0.4,7.9,241.4
E05000026,14750,26,5,29,10500,57.3,2,60.3,173000,33920,66.3,32.7,26.7,38.6,34.5,138.1,21.9,0.5,6,43.6
E05000027,10600,25.7,10,33,7428.6,24.7,1,63.1,215000,32470,14.2,45.1,36.8,15.9,16.7,73.6,20.6,0.8,3.1,41.4
E05000028,12700,25.4,8.7,32,9269.2,30.1,3,61.2,210000,33000,19.1,46.7,29.4,20.1,20.6,79.9,1.9,0.9,2.9,73.6
E05000029,10400,24.3,14.2,34,2985.3,24.8,6,63.6,240500,33920,34.5,54,32,12.4,19.5,76.1,56,0.9,2.3,45.8
E05000030,10750,20.1,14.2,36,3028.6,19,2,68.2,240000,37400,18.4,67.6,20,11.2,18.5,66.7,50.4,1.1,2.3,73.5
E05000031,11900,25.2,9.6,32,8357.1,32.2,5,61.5,220000,32870,21.5,44,37.4,17.3,20,82.2,17.1,0.8,2.7,68.2
E05000032,15850,32,5.4,29,12772.7,48.2,2,56.4,200000,29480,71.4,23.7,54,18.3,25.2,75.8,20.8,0.5,3.2,61.3
E05000033,11450,25.9,10.9,33,8692.3,26.8,1,63.6,205000,33250,15.3,43.1,37.3,15.8,18.8,74.8,14.1,0.8,2.5,77.2
E05000034,11150,26.2,11.5,32,5475,24.1,3,61.4,215000,31340,36.4,41.6,45.3,11.3,17.6,83.7,36.3,0.7,2.7,64.7
E05000035,11900,21.7,12.2,32,7281.3,33.3,2,65.2,312750,40570,22.5,70,13.1,15.3,25,57,28.3,1.1,3.1,53.8
E05000036,10550,26.9,11,33,5473.7,25,1,61.9,212000,31530,15.5,43.8,38.6,15.6,16.2,67.9,44.8,0.8,2.5,63.6
E05000037,10050,25.2,11.1,33,8250,23.3,2,61.5,213000,31860,12.6,47.2,36.4,14.1,16,56.8,17.4,0.8,2.7,45.4
E05000038,11950,26.5,9.9,32,3166.7,30.9,1,64.2,205500,33490,14.3,51.9,25.7,20.6,19.5,85,20.5,0.8,3,61.9
E05000039,18950,32.5,5,28,1867.1,37.2,3,60.5,219000,32580,45.2,35.4,44.4,17.5,24.4,95.6,43.8,0.7,2.1,85.7
E05000040,10250,25.5,11.3,34,7692.3,23.3,3,63.1,215000,33200,13.3,47.3,37.4,13.8,17.8,68.3,11.8,0.8,3.2,58.1
E05000041,11050,24.8,11.1,33,5166.7,26,2,61.7,202500,31960,48.9,40.3,39.9,17.4,17.9,90.8,47,0.8,2.7,101.8
E05000042,11150,23.7,11.8,34,6781.3,29.2,1,67.5,235000,37180,27.8,63.7,12.3,22.3,22.4,72.4,16,1,2.9,46.2
E05000043,17550,19.5,15.9,39,5218.8,30.9,0,71.4,435000,39800,18.8,75.4,9,13.2,34.4,49.4,28,1.3,2.9,76
E05000044,19650,24.3,9.1,32,8857.1,47.1,8,63.7,250000,29400,38.1,38,35.5,22.1,24.7,68.5,18.9,0.8,3.6,61.4
E05000045,21100,19.5,12.6,33,6516.1,51.2,6,67.9,507500,38960,56,45,12.5,39.7,43.7,90.5,15.1,0.8,4.5,232.7
E05000046,26600,22.8,7.5,30,8250,52.7,0,61.9,302500,30170,60,36.3,34.3,26,30.8,58.9,19.8,0.8,2.5,73.4
E05000047,18050,19.5,11.1,35,6425.9,36.1,5,71.5,335000,38090,53,56.8,13.4,26.7,40.6,75.6,40.3,1,2.9,172.6
E05000048,17100,20.6,14.8,38,4302.6,23.4,2,71.5,368000,39870,34.8,67.9,9.8,20.3,36.5,44,34.8,1.2,2.8,68.1
E05000049,16850,19.2,13.6,36,6440,34.4,1,74.9,437500,41160,56.9,50.2,22.2,25.5,49.6,47.5,37.8,0.8,2.6,252.7
E05000050,17600,22.9,15.5,35,3017.9,37.4,2,69,455000,38410,36.7,60.4,15.8,20.9,36,71.4,54,1.2,3,50.8
E05000051,16800,19,16.6,37,5925.9,40.9,5,72.6,528000,45030,55.2,62.3,4.9,30.4,48.6,52,13.7,1.2,2.9,103.4
E05000052,16950,20.3,17.7,38,3436.2,36,7,73.1,825000,53090,38.8,66.1,4.9,26.7,57.3,65.1,24.2,1.2,2.7,184.3
E05000053,24950,25.6,10.1,30,7150,45.8,6,66.7,555250,40800,37.3,49.4,13.3,34.7,37.4,61.3,14.6,1,3.4,129.8
E05000054,18250,22.5,14.4,36,3250,35.7,4,70.7,397250,38590,24.1,66.9,13.6,17.9,36.5,46.8,48.8,1.2,2.6,62.6
E05000055,19300,21.5,12,32,6625,48.2,4,66.7,350000,38530,58.4,49,12.1,36.6,41.3,72.6,16.4,1,2.7,100.6
E05000056,16300,18.1,17.6,41,1873.5,22.1,4,74.5,419422.5,43940,38.9,69.9,7.7,19.9,44.3,56.3,47.9,1.2,2.7,118.7
E05000057,20000,21.9,14,36,2010.6,34.4,6,70.5,520000,41920,33.5,64.4,12.8,20.4,41.6,62.8,59,1.3,2.3,83.3
E05000058,16650,19.3,17.3,39,4833.3,28.5,3,73.4,366000,41670,39.9,70.6,7.3,20.3,40.7,49.7,15.3,1.3,3.3,74.9
E05000059,16900,20.2,17,39,1795.5,37.6,3,71.6,627750,46150,32.8,66.8,8.7,22.5,47,39.7,57.7,1.3,2.5,75.3
E05000060,17300,19.6,16.7,39,3554.3,25.4,4,68.3,389950,37040,30,60.3,25.7,11.3,31.8,57.9,43.8,1.1,2.6,55
E05000061,17500,18.6,13.1,36,7590.9,44.7,7,74.2,385000,42050,55,53.8,7.2,36.9,49.5,55.2,13.4,0.9,3.6,145.9
E05000062,19250,20.6,11.2,32,5279.4,53.6,10,67.2,346250,35090,46.4,48.3,16.8,32.6,34.4,99.9,32,0.9,3.5,104.7
E05000063,18700,18.6,13.8,36,6846.2,41,2,72,370000,38220,47.8,57.6,11.5,28.6,41.3,69.3,19.3,1,2.9,171.4
E05000064,10600,18.7,19.3,41,3672.4,8,1,75.8,250000,38200,16.5,80,10.7,8.3,20.1,46.5,36,1.3,3.1,49.6
E05000065,12400,23.2,12.9,35,3828.1,20.4,0,70.4,179500,33510,36.7,63.6,16.1,18.6,21.9,62,33.1,1,2.8,65.3
E05000066,10700,18.3,19.1,42,6352.9,7.1,0,77.3,280000,40780,7.9,86.7,3.8,8.1,19.3,28.8,9.5,1.3,2.1,72.2
E05000067,11000,18,19.5,41,5285.7,7.8,1,78.2,275000,40340,10.1,88.5,2.6,8.1,19.6,37.7,13.8,1.4,2.1,64
E05000068,10600,16.6,23.3,45,5350,10.4,1,76.6,315000,40790,9.7,88.9,4.4,5.7,20.7,26.3,9.1,1.3,2.7,54.9
E05000069,11350,18.1,18.6,41,4500,11.5,2,77,275000,40190,22,80.7,3.9,14.2,24.9,97.5,17.3,1.2,3.4,48.3
E05000070,11400,22.3,15,36,7093.8,12.3,0,70.2,247000,34450,27.2,61.5,29.4,7,18.1,39.5,13,1.1,2,54.5
E05000071,11950,20.9,14.6,37,2925,10,2,73.2,231500,34900,24.3,65.6,21.8,10.5,18.6,62.2,41.7,1.1,2.1,52.4
E05000072,11350,20.8,17.7,39,1583.3,9.9,1,71.4,285000,35530,31.3,65.7,22.8,9.3,22.2,54.3,61.7,1.2,2.3,74.3
E05000073,11000,18.3,18,40,4092.6,13.2,0,75,265750,38580,21.7,77.9,8.9,11.2,21.6,54,36.4,1.2,2.9,57.4
E05000074,11000,18.4,19.2,41,5022.7,13.4,1,73.5,259497.5,36260,16,76.5,12.6,9.5,18.8,40.5,26.8,1.2,2.5,60.3
E05000075,12800,25.1,11.6,33,2614.6,23.1,1,67.6,181000,33160,44,55.1,20.2,20.5,22.6,82.3,44.6,1,2.6,52.7
E05000076,10950,18.2,16.7,40,6470.6,12.4,2,76.2,280000,39000,9.5,88,1.1,9.5,19.6,47.7,0.7,1.3,2.4,59
E05000077,11450,20.3,16.5,39,4791.7,23.3,1,69.7,257500,35630,26.4,67.1,21,10.3,22.5,59.8,37,1.1,2.8,55.3
E05000078,10600,16.4,21.2,42,4096.2,9.9,3,75.4,250000,40880,39.5,75,13.2,10.7,27.1,34.2,28.9,1.2,2.7,63.5
E05000079,11850,26.7,10.6,32,2070.2,18.8,1,63.3,204497.5,29930,33.1,46.9,37.4,14.3,19.5,81.2,65.3,0.9,2.6,59.6
E05000080,10700,19.5,16.9,40,5972.2,9.8,0,73.6,250000,37130,10.4,80.3,9.3,8.9,17.8,42.1,13.6,1.3,2.1,60.2
E05000081,10550,17.7,22.4,43,2420.5,8.1,3,77.3,315000,44010,12.3,85.7,4.1,9.1,27,33.2,46.8,1.4,2.6,59.2
E05000082,11250,20.4,15.6,39,8071.4,11.6,3,75.9,280000,38510,7.7,85.8,7,6.1,19.1,30,5.9,1.4,2.2,59.7
E05000083,11000,15.9,19.9,42,4092.6,10.6,1,74,280000,41220,35.3,74.7,6.7,16.6,27.2,50.5,25.8,1.2,3.2,61.8
E05000084,12550,27.8,7.4,32,2583.3,38.1,1,62.6,190000,32100,43.3,41,38.4,19,28.2,54.9,70.5,0.8,2.6,65
E05000085,15300,19.8,10.1,33,7047.6,66.8,3,67.4,249950,31250,37.8,55.6,12.1,29.6,26.2,69.1,17.7,0.9,3,114.8
E05000086,16250,20.9,12.4,33,5366.7,56.5,1,64.2,333000,34630,45.5,43.6,26.6,26.2,34.7,64.7,31.6,1,3,33.8
E05000087,13300,17.8,12.6,34,7794.1,47.2,4,71.8,465000,40020,68.2,44.3,21.5,32,45,70.8,9.7,0.7,3.8,319
E05000088,13650,24.1,12.2,32,5934.8,54.5,6,61.5,306000,30990,35.2,51.7,22.1,23.5,25.1,67.3,26.6,0.9,2.9,78.8
E05000089,15750,21.2,10.7,32,9117.6,56.2,5,65.9,495000,33470,44,43.7,19.9,34.2,31.7,88.2,11.6,0.8,3.4,222
E05000090,14150,20.5,12.7,34,5129.6,55.9,4,66.5,263750,35590,37.4,57.1,13.9,26.8,29,58.4,39.3,1.1,2.8,66.2
E05000091,17500,27.3,9,32,15772.7,52.9,6,59.3,305500,27030,71.4,21.8,44,30.7,21.4,100.3,8.9,0.5,3.8,235.8
E05000092,15050,21.1,10.2,35,13681.8,50.2,6,68.8,500000,34640,63.6,36.1,26.7,34.7,33.8,86.6,6.9,0.6,4.1,395.8
E05000093,12550,16.2,18.8,37,5413,53.9,2,70.3,440000,42190,20.5,73.4,5.6,19.3,39.8,51.3,17,1.4,2.7,39.5
E05000094,17550,19.5,9.4,33,19333.3,48.1,4,68.9,444631.5,34270,86.1,24,45,28.8,39.9,79.3,11.1,0.4,5.5,494
E05000095,16000,17.2,9.4,33,11357.1,52.3,10,70.6,450000,36830,75,34.4,19.2,44.8,43.7,71.8,9.6,0.6,4.5,290.2
E05000096,13300,16,13.7,34,4888.9,53.3,2,67.4,470000,41100,32.4,62,16.2,19.2,40.3,64.7,32,1.3,2.7,60.6
